recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,aperiodic_frontal,aperiodic_posterior,aperiodic_wholehead,n_frontal,n_posterior
sub-04@loc-300,ds004541,sub-04,ok,,62,1000,30000,0.644225251,0.6937106684,1.074714716,14,17
sub-04@loc-240,ds004541,sub-04,ok,,62,1000,30000,0.8982542843,1.267826579,1.636039481,14,17
sub-04@loc-180,ds004541,sub-04,ok,,62,1000,30000,1.430752875,1.581832286,1.897283844,14,17
sub-04@loc-120,ds004541,sub-04,ok,,62,1000,30000,1.648974509,1.664534818,1.909723879,14,17
sub-04@loc-60,ds004541,sub-04,ok,,62,1000,30000,1.893330692,1.885326601,2.077458998,14,17
sub-04@loc-30,ds004541,sub-04,ok,,62,1000,30000,1.672393132,1.639715767,1.902878332,14,17
sub-04@loc+30,ds004541,sub-04,ok,,62,1000,30000,1.672393132,1.639715767,1.902878332,14,17
sub-04@loc+60,ds004541,sub-04,ok,,62,1000,30000,1.493173892,1.47001828,1.805648625,14,17
sub-04@loc+120,ds004541,sub-04,ok,,62,1000,30000,1.742603659,1.677429909,2.018159131,14,17
sub-04@loc+180,ds004541,sub-04,ok,,62,1000,30000,1.742603659,1.677429909,2.018159131,14,17
sub-04@loc+240,ds004541,sub-04,ok,,62,1000,30000,1.702462675,1.512979743,1.842293668,14,17
sub-04@loc+300,ds004541,sub-04,ok,,62,1000,30000,1.768009854,1.664246974,1.922421834,14,17
sub-04@roc-60,ds004541,sub-04,ok,,62,1000,30000,1.919564573,1.87869961,2.059376046,14,17
sub-04@roc+60,ds004541,sub-04,ok,,62,1000,30000,1.998525312,1.752657349,2.013061717,14,17
sub-07@start-180,ds004541,sub-07,ok,,62,1000,30000,1.886466965,1.725773801,2.016949183,14,17
sub-07@start-120,ds004541,sub-07,ok,,62,1000,30000,1.833085798,1.443386444,1.623093427,14,17
sub-07@start-60,ds004541,sub-07,ok,,62,1000,30000,2.109775759,1.762823757,2.098733455,14,17
sub-07@loc-300,ds004541,sub-07,ok,,62,1000,30000,0.8543604681,1.396185207,1.518230295,14,17
sub-07@loc-240,ds004541,sub-07,ok,,62,1000,30000,0.8140009084,1.412612646,1.572011321,14,17
sub-07@loc-180,ds004541,sub-07,ok,,62,1000,30000,0.9371120917,1.31054745,1.295820546,14,17
sub-07@loc-120,ds004541,sub-07,ok,,62,1000,30000,1.350873469,1.602599414,1.743035101,14,17
sub-07@loc-60,ds004541,sub-07,ok,,62,1000,30000,1.894015305,1.981380213,1.90163258,14,17
sub-07@loc-30,ds004541,sub-07,ok,,62,1000,30000,2.236044353,2.010964411,2.025773074,14,17
sub-07@loc+30,ds004541,sub-07,ok,,62,1000,30000,1.806944891,1.877052798,2.02537649,14,17
sub-07@loc+60,ds004541,sub-07,ok,,62,1000,30000,2.0964952,1.992927553,2.213900479,14,17
sub-07@loc+120,ds004541,sub-07,ok,,62,1000,30000,2.064859485,1.956088197,2.355674541,14,17
sub-07@loc+180,ds004541,sub-07,ok,,62,1000,30000,2.260871372,1.985041843,2.163597278,14,17
sub-07@loc+240,ds004541,sub-07,ok,,62,1000,30000,2.164738908,2.051015776,2.207594066,14,17
sub-07@loc+300,ds004541,sub-07,ok,,62,1000,30000,2.323048836,2.580880348,2.905741945,14,17
sub-07@roc-60,ds004541,sub-07,ok,,62,1000,30000,2.229667588,2.410690569,2.711472904,14,17
sub-07@roc+60,ds004541,sub-07,ok,,62,1000,30000,2.09959579,2.126252867,2.327985482,14,17
sub-08@start-180,ds004541,sub-08,ok,,62,1000,30000,0.6113141016,1.552801296,1.85660238,14,17
sub-08@start-120,ds004541,sub-08,ok,,62,1000,30000,0.7238608461,1.432804054,1.748607329,14,17
sub-08@start-60,ds004541,sub-08,ok,,62,1000,30000,1.001961486,1.60767764,2.13949901,14,17
sub-08@loc-300,ds004541,sub-08,ok,,62,1000,30000,0.8666028341,1.752409621,2.166533452,14,17
sub-08@loc-240,ds004541,sub-08,ok,,62,1000,30000,1.013368313,1.238010936,2.055355655,14,17
sub-08@loc-180,ds004541,sub-08,ok,,62,1000,30000,0.7041906679,1.226665301,1.798722227,14,17
sub-08@loc-120,ds004541,sub-08,ok,,62,1000,30000,0.6606068698,1.413582905,1.912001938,14,17
sub-08@loc-60,ds004541,sub-08,ok,,62,1000,30000,1.381981934,1.840008778,2.160658846,14,17
sub-08@loc-30,ds004541,sub-08,ok,,62,1000,30000,1.514537533,1.981874903,2.272212468,14,17
sub-08@loc+30,ds004541,sub-08,ok,,62,1000,30000,1.269305971,1.734501726,1.702806101,14,17
sub-08@loc+60,ds004541,sub-08,ok,,62,1000,30000,1.93282611,2.447328375,2.671228901,14,17
sub-08@loc+120,ds004541,sub-08,ok,,62,1000,30000,1.907835555,2.21612122,2.498912513,14,17
sub-08@loc+180,ds004541,sub-08,ok,,62,1000,30000,2.358089077,2.387474033,2.610139983,14,17
sub-08@loc+240,ds004541,sub-08,ok,,62,1000,30000,2.190526841,2.165792309,2.392265325,14,17
sub-08@loc+300,ds004541,sub-08,ok,,62,1000,30000,2.178213586,2.023274992,2.192789833,14,17
sub-08@roc-60,ds004541,sub-08,ok,,62,1000,30000,2.22423905,2.401707123,2.622627311,14,17
sub-08@roc+60,ds004541,sub-08,ok,,62,1000,30000,2.210585982,2.224297519,2.478448407,14,17
sub-09@start-180,ds004541,sub-09,ok,,62,1000,30000,1.172127269,1.598745235,1.955221909,14,17
sub-09@start-120,ds004541,sub-09,ok,,62,1000,30000,1.707819904,1.42038081,1.76035709,14,17
sub-09@start-60,ds004541,sub-09,ok,,62,1000,30000,1.721390347,1.762309334,2.152529404,14,17
