subject,session,run,decoder,study,trial,pre_gap_s,n_channels_used,trial_dur_s,exponent_low,exponent_high,whole_head_exponent,relative_alpha_power,relative_delta_power,spectral_edge_95,spectral_entropy,lempel_ziv,mu_c3,mu_c4,mu_mean,mu_lateralisation,emg_index,mean_dist,median_dist,frac_within,vel_alignment
S12,Se08,R01,Chance,Main,0,2.321,11,60.0,1.4412972435479698,3.697718383284607,1.5377615265383058,0.05483901705856581,0.5481598423749231,25.4569968311966,0.6338181627377684,0.32897352853986256,0.2133132430468811,0.026273953205038246,0.11979359812595967,0.7806731443410531,0.03513829229800686,0.4527888926456799,0.41553994375970155,0.074,-0.04665084498836868
S12,Se08,R01,Chance,Main,1,3.2,11,60.04,1.0036446399678831,2.803805789466694,1.0968800783531012,0.09711781644063547,0.37587350735440184,30.925704529088918,0.8061764266033847,0.32349063639753156,0.09333190355663826,0.09711781644063547,0.09522485999863686,-0.019878805198828363,0.10719491699063334,0.5589972604841452,0.5585769089975938,0.02731512325116589,-0.16809078437925618
S12,Se08,R01,Chance,Main,2,3.2,11,60.0,0.7823907561782594,3.1752210386013116,1.0799364950424635,0.2013707826966264,0.24389895369851045,31.41491399685612,0.8308877517533539,0.3070419599705384,0.16407816120998447,0.21778763582205948,0.19093289851602196,-0.1406501316156577,0.08091743961987805,0.5124563730098904,0.5001486849332601,0.005333333333333333,-0.03311380059582575
S12,Se08,R01,Chance,Main,3,3.24,11,60.04,1.713962674151693,2.396574092755756,1.6210743056960342,0.045754156528465324,0.59406017372518,28.500923326431916,0.6079622166980261,0.27414460711655214,0.044484515577855266,0.04103596933246317,0.04276024245515922,0.0403242129532876,0.04687497952087332,0.4878307202594304,0.4943334227824562,0.04263824117255163,-0.06251175814171758
S12,Se08,R01,Chance,Main,4,3.2,11,60.0,0.8975839228133362,3.414723892339203,1.2707472440254546,0.18970978516064427,0.30020496821747766,26.96423280192007,0.7325718831781918,0.2302814699779038,0.09736935098055265,0.03763095033254093,0.06750015065654678,0.44250568381670524,0.0502773494563439,0.5025582955396127,0.48936581918753,0.028,-0.022566399239444833
S13,Se08,R01,Chance,Main,0,2.281,11,60.04,1.7147760150942017,2.641783667152103,1.1392155474162544,0.3612383736543138,0.3866648906753628,27.255545425072576,0.6466304996901506,0.3618708813938488,0.31634660818420224,0.003884586080760244,0.16011559713248125,0.9757388652303116,0.07778806647861781,0.7459636880003159,0.7696021883705056,0.003997335109926716,-0.5505128837521917
S13,Se08,R01,Chance,Main,1,3.2,11,60.0,1.073263451677467,3.2782403120276316,1.101230850841614,0.4717800277589094,0.20991297109198923,25.67229714232332,0.6581024581742876,0.44959715567114555,0.08414608461230509,0.14246412931169025,0.11330510696199766,-0.25734958583528333,0.07735825293992317,0.6380668199384765,0.6347129447544652,0.011333333333333334,-0.17486589105748918
S13,Se08,R01,Chance,Main,2,3.2,11,60.0,2.3017896255639956,1.895751150702796,1.5879522994534083,0.027619233044420086,0.8379912835592793,16.104136552611543,0.3609154327591141,0.27414460711655214,0.11279653753577984,0.005342515401096686,0.059069526468438265,0.909555472669122,0.0311379904905144,0.46769242578676684,0.4410428758329132,0.054,-0.19772107648935394
S13,Se08,R01,Chance,Main,3,3.24,11,60.04,2.0107222103923474,1.0536867295772792,1.2282301788196832,0.08224773316243027,0.8156982193402931,17.100607751292788,0.29880136875714797,0.08224338213496564,0.10568584699791558,0.010964592365833819,0.0583252196818747,0.812009411612363,0.05095001041985132,0.6084360381825665,0.6045151352553834,0.02531645569620253,-0.306340192905438
S13,Se08,R01,Chance,Main,4,3.2,11,60.0,1.4047011857917662,2.5290364794092905,1.5256268548442402,0.20817952653459315,0.6185490552165018,21.462205351921803,0.4965110213867401,0.2631788228318901,0.11714474020851157,0.1414479261909838,0.1292963331997477,-0.09398250275561439,0.04471413893413411,0.4936520696159475,0.4594218919436376,0.05533333333333333,-0.0822961839670907
S14,Se08,R01,Chance,Main,0,2.321,11,60.0,1.6679631500765613,1.8722360146797,1.232254176831277,0.031696286881791866,0.762514211587515,27.284364111613264,0.4851228861060531,0.42218269495949035,0.031696286881791866,0.05267751917272117,0.042186903027256514,-0.24866997557717796,0.1160656329526052,0.5410291605461041,0.5141915424352423,0.025333333333333333,-0.4029510032668251
S14,Se08,R01,Chance,Main,1,3.24,11,60.0,1.8224739180522933,1.8269240180051094,1.506211620025453,0.3163934754488924,0.5140364464742866,14.78838162342147,0.49943420063888727,0.21931568569324172,0.4247739735145104,0.3163934754488924,0.3705837244817014,0.1462294360298729,0.023167530966580988,0.6833009665113081,0.7154079777262369,0.015333333333333332,-0.40719487955119127
S14,Se08,R01,Chance,Main,2,3.24,11,60.0,1.6805852358116187,1.544712022486277,1.8440977991959422,0.17164709391659083,0.5882399760291446,19.892835716448776,0.5531499120304191,0.2302814699779038,0.15907230585289392,0.11407335754744906,0.13657283170017148,0.16474341106229096,0.07406926641756083,0.7212301359287046,0.775445398870106,0.015333333333333332,-0.25264583601698354
S14,Se08,R01,Chance,Main,3,3.2,11,60.0,1.3323625811117255,2.0248669532785097,1.3847096255662132,0.2958307515605907,0.31712635719957494,24.681973920179857,0.6876469305875751,0.3070419599705384,0.22938536292031633,0.3566464864618501,0.29301592469108323,-0.21715735019470506,0.07501281673307739,0.5580872940866247,0.5573691034264088,0.014666666666666666,-0.22628075428082162
S14,Se08,R01,Chance,Main,4,3.24,11,60.04,1.3461874889126457,2.3632923440703713,1.2943154624022064,0.18305246022198804,0.5442324975120779,23.564815751413732,0.6195625644823441,0.35090509710918677,0.15656090714882695,0.300527884195936,0.2285443956723815,-0.3149650128666594,0.06527523541294232,0.6095792730907563,0.6394647705259174,0.014656895403064623,-0.384245702532185
S15,Se04,R01,Chance,Transfer Learning,0,2.321,11,60.0,2.525232549284033,1.2180930581613547,1.1537179068207186,0.014311196313506492,0.84278713504133,26.219342430181268,0.3811483389674291,0.22479857783557278,0.014311196313506492,0.01435708107087562,0.014334138692191056,-0.0016005411400869798,0.17830190744168556,0.6289600279680543,0.632961195904953,0.013333333333333334,-0.42413387361701355
S15,Se04,R01,Chance,Transfer Learning,1,3.24,11,59.96,0.9426667321518345,4.9236502326398535,1.3094230462692904,0.06246256918322795,0.5077899152224299,28.86713358269382,0.6445427044811667,0.30155906782820735,0.04563655841136012,0.07546768902300498,0.06055212371718255,-0.24632604754686613,0.09442756490724796,0.5908498038991359,0.5697515072778232,0.01000667111407605,-0.31941042480521104
S15,Se04,R01,Chance,Transfer Learning,2,3.24,11,59.96,1.3041480977249924,2.1404957474204345,1.2838092452104097,0.07698341053823618,0.3715614190736757,27.199029975426495,0.7155783288491295,0.2796274992588832,0.07698341053823618,0.11225608251088169,0.09461974652455893,-0.1863917061090961,0.06151093511843228,0.5322886611120728,0.4793277605572374,0.02334889926617745,-0.3101570834908339
S15,Se04,R01,Chance,Transfer Learning,3,3.28,11,60.0,1.4125827788995908,3.6457461392332475,1.2859913959305433,0.10021402894341043,0.37780818787040044,31.9309603266772,0.7885788776741773,0.38380244996317303,0.1545004400024201,0.10021402894341043,0.12735723447291528,0.21312653059593023,0.13675147280979078,0.6347409189271128,0.6779272716918777,0.024666666666666667,-0.2445840935322705
